Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Total
2006,Male,Incidence,Brain cancer,25,16,9,7,13,21,25,34,45,57,61,91,82,91,82,78,46,13,0,796
2007,Male,Incidence,Brain cancer,14,20,16,10,15,18,28,43,40,54,71,105,106,97,98,79,51,36,0,901
2008,Male,Incidence,Brain cancer,18,16,15,13,10,17,23,47,38,47,73,89,107,106,95,97,50,26,0,887
2009,Male,Incidence,Brain cancer,21,16,9,9,13,17,28,34,48,69,70,103,128,101,103,77,68,25,0,939
2010,Male,Incidence,Brain cancer,20,14,9,13,15,25,33,38,44,58,74,104,122,118,110,83,74,34,0,988
2011,Male,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1968,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1969,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1970,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1971,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1972,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1973,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1974,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1975,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1976,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1977,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1978,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1979,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1980,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1981,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1982,Female,Incidence,Brain cancer,10,13,6,8,12,18,14,13,19,20,33,28,42,55,37,19,9,7,0,363
1983,Female,Incidence,Brain cancer,20,10,6,8,8,13,18,20,29,18,23,47,54,34,41,24,17,1,0,391
1984,Female,Incidence,Brain cancer,20,19,12,12,12,14,22,19,20,21,25,24,48,38,49,31,15,5,0,406
1985,Female,Incidence,Brain cancer,10,13,8,5,10,12,14,23,19,15,24,36,52,48,52,24,18,6,0,389
1986,Female,Incidence,Brain cancer,20,21,9,9,7,15,16,22,19,20,25,21,47,52,38,33,10,6,0,390
1987,Female,Incidence,Brain cancer,15,14,13,10,8,15,17,16,20,24,21,32,51,52,48,32,23,6,0,417
1988,Female,Incidence,Brain cancer,15,10,12,7,13,14,14,28,19,22,27,42,48,49,49,42,23,11,0,445
1989,Female,Incidence,Brain cancer,6,14,12,8,9,12,29,21,28,26,38,40,57,51,44,46,23,10,0,474
1990,Female,Incidence,Brain cancer,12,16,12,3,21,12,16,22,32,31,27,29,51,55,49,46,23,7,0,464
1991,Female,Incidence,Brain cancer,11,16,21,14,15,19,25,25,27,23,32,37,58,47,53,40,28,5,0,496
1992,Female,Incidence,Brain cancer,18,15,4,12,14,11,24,23,30,21,33,33,55,51,60,44,35,7,0,490
1993,Female,Incidence,Brain cancer,16,10,8,7,12,13,23,17,37,30,24,39,44,58,69,51,38,12,0,508
1994,Female,Incidence,Brain cancer,15,9,12,9,14,18,11,19,20,29,29,47,50,70,50,47,33,13,0,495
1995,Female,Incidence,Brain cancer,20,9,3,13,12,13,19,11,19,27,38,40,46,60,49,53,27,22,0,481
1996,Female,Incidence,Brain cancer,16,17,10,7,11,17,14,21,35,38,20,41,44,62,54,39,28,21,0,495
1997,Female,Incidence,Brain cancer,11,8,10,5,5,17,18,19,25,24,37,47,41,53,63,56,41,22,0,502
1998,Female,Incidence,Brain cancer,15,13,10,8,7,17,17,22,27,30,29,37,47,40,68,49,35,31,0,502
1999,Female,Incidence,Brain cancer,14,12,9,7,7,13,16,18,24,27,28,33,42,63,68,63,41,30,0,515
2000,Female,Incidence,Brain cancer,16,13,13,5,7,14,15,27,21,31,65,45,48,60,60,47,34,34,0,555
2001,Female,Incidence,Brain cancer,19,9,6,8,8,17,15,19,40,31,51,38,53,53,69,61,38,23,0,558
2002,Female,Incidence,Brain cancer,19,11,8,13,5,18,24,21,33,39,41,56,47,64,72,76,43,33,0,623
2003,Female,Incidence,Brain cancer,15,12,12,5,11,21,28,28,30,36,52,42,46,52,67,66,43,28,0,594
2004,Female,Incidence,Brain cancer,19,11,8,8,14,10,20,22,29,26,50,62,47,73,45,59,35,28,0,566
2005,Female,Incidence,Brain cancer,12,12,5,9,14,19,19,33,34,31,40,59,59,51,59,65,54,40,0,615
2006,Female,Incidence,Brain cancer,9,16,11,7,6,14,32,19,37,33,31,62,58,61,62,46,64,32,0,600
2007,Female,Incidence,Brain cancer,13,12,4,10,8,20,18,18,35,35,40,58,53,58,58,55,48,38,0,581
2008,Female,Incidence,Brain cancer,15,9,12,8,12,17,18,19,33,31,49,56,77,58,67,75,42,48,0,646
2009,Female,Incidence,Brain cancer,21,11,16,11,12,14,26,32,27,44,43,60,65,72,64,64,53,28,0,663
2010,Female,Incidence,Brain cancer,17,9,8,8,5,15,17,33,25,36,55,81,77,75,72,65,47,48,0,693
2011,Female,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1968,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1969,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1970,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1971,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1972,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1973,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1974,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1975,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1976,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1977,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1978,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1979,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1980,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1981,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1982,Persons,Incidence,Brain cancer,31,29,22,20,23,32,36,34,54,56,90,86,95,106,79,42,10,10,0,855
1983,Persons,Incidence,Brain cancer,37,22,18,17,26,24,43,45,51,50,67,108,113,93,91,46,26,3,0,880
1984,Persons,Incidence,Brain cancer,39,31,22,24,28,40,44,46,47,49,63,92,107,95,105,53,29,6,1,921
1985,Persons,Incidence,Brain cancer,33,29,29,19,21,34,32,45,38,52,57,90,124,110,112,56,28,9,0,918
1986,Persons,Incidence,Brain cancer,38,33,38,22,30,38,38,51,52,49,69,72,128,111,108,65,24,11,0,977
1987,Persons,Incidence,Brain cancer,28,32,19,28,19,38,40,46,47,70,65,87,119,135,109,64,37,10,0,993
1988,Persons,Incidence,Brain cancer,34,27,25,19,30,35,35,58,51,51,66,105,113,119,100,77,43,17,0,1005
1989,Persons,Incidence,Brain cancer,22,24,26,24,17,34,51,51,72,63,79,94,124,115,91,88,36,13,0,1024
1990,Persons,Incidence,Brain cancer,30,27,23,22,33,24,45,53,65,70,78,77,111,128,102,95,51,16,0,1050
1991,Persons,Incidence,Brain cancer,21,30,32,23,30,44,45,58,64,60,84,87,135,114,114,88,50,15,0,1094
1992,Persons,Incidence,Brain cancer,37,28,20,22,31,25,55,60,59,65,101,82,147,138,121,93,58,16,0,1158
1993,Persons,Incidence,Brain cancer,38,26,19,16,26,36,56,46,74,75,82,89,99,135,130,87,53,23,0,1110
1994,Persons,Incidence,Brain cancer,29,24,28,23,24,46,34,53,55,68,80,109,125,159,122,88,66,26,0,1159
1995,Persons,Incidence,Brain cancer,41,23,13,21,33,36,42,36,62,75,98,103,112,135,130,113,63,33,0,1169
1996,Persons,Incidence,Brain cancer,32,26,26,21,28,51,47,50,67,92,71,90,113,150,123,92,71,41,0,1191
1997,Persons,Incidence,Brain cancer,29,22,22,11,17,38,38,46,60,60,107,109,107,140,158,115,73,36,0,1188
1998,Persons,Incidence,Brain cancer,26,35,21,19,21,36,32,52,61,83,94,105,116,112,141,111,65,50,0,1180
1999,Persons,Incidence,Brain cancer,34,24,18,19,17,38,49,43,74,83,101,97,110,150,132,131,68,51,0,1239
2000,Persons,Incidence,Brain cancer,36,29,24,11,11,31,49,65,62,79,142,131,113,142,148,105,84,48,0,1310
2001,Persons,Incidence,Brain cancer,35,29,21,20,26,41,46,44,72,84,131,119,132,146,144,122,75,49,0,1336
2002,Persons,Incidence,Brain cancer,36,29,17,26,16,39,56,51,84,104,125,143,125,144,156,150,89,55,0,1445
2003,Persons,Incidence,Brain cancer,33,18,18,19,25,44,62,69,77,85,125,133,125,122,136,143,86,49,0,1369
2004,Persons,Incidence,Brain cancer,34,25,16,18,28,35,48,51,66,86,117,155,129,171,132,139,71,51,0,1372
2005,Persons,Incidence,Brain cancer,27,23,15,19,31,44,46,57,75,88,129,145,158,146,140,152,98,51,0,1444
2006,Persons,Incidence,Brain cancer,34,32,20,14,19,35,57,53,82,90,92,153,140,152,144,124,110,45,0,1396
2007,Persons,Incidence,Brain cancer,27,32,20,20,23,38,46,61,75,89,111,163,159,155,156,134,99,74,0,1482
2008,Persons,Incidence,Brain cancer,33,25,27,21,22,34,41,66,71,78,122,145,184,164,162,172,92,74,0,1533
2009,Persons,Incidence,Brain cancer,42,27,25,20,25,31,54,66,75,113,113,163,193,173,167,141,121,53,0,1602
2010,Persons,Incidence,Brain cancer,37,23,17,21,21,40,50,70,70,94,129,185,199,194,181,148,121,82,0,1682
2011,Persons,Incidence,Brain cancer,,,,,,,,,,,,,,,,,,,,0
1968,Male,Mortality,Brain cancer,12,9,7,6,1,10,4,16,14,22,31,38,40,21,12,3,0,0,0,246
1969,Male,Mortality,Brain cancer,5,6,3,2,1,6,7,10,17,21,21,23,33,18,10,4,1,0,0,188
1970,Male,Mortality,Brain cancer,4,13,5,2,3,7,7,8,20,23,31,44,30,31,11,5,0,0,0,244
1971,Male,Mortality,Brain cancer,8,7,4,10,2,3,7,8,12,19,30,39,43,18,13,4,1,1,0,229
1972,Male,Mortality,Brain cancer,6,7,7,4,7,11,6,7,12,25,29,38,40,28,17,6,1,0,0,251
1973,Male,Mortality,Brain cancer,9,6,7,3,6,4,13,11,20,26,30,34,29,25,9,4,1,1,0,238
1974,Male,Mortality,Brain cancer,9,5,9,7,5,8,10,12,17,26,30,31,48,26,19,7,2,0,0,271
1975,Male,Mortality,Brain cancer,6,5,6,6,9,6,12,9,18,24,32,32,40,29,15,8,2,2,0,261
1976,Male,Mortality,Brain cancer,10,1,5,1,5,7,11,12,8,23,31,28,51,38,24,9,3,0,0,267
1977,Male,Mortality,Brain cancer,7,3,8,2,5,5,11,5,16,21,16,35,48,37,16,11,0,3,0,249
1978,Male,Mortality,Brain cancer,5,4,3,5,11,6,11,16,20,36,19,34,43,20,26,25,3,0,0,287
1979,Male,Mortality,Brain cancer,9,4,7,8,5,8,18,11,23,24,41,48,52,62,37,13,1,1,0,372
1980,Male,Mortality,Brain cancer,7,4,7,6,4,6,12,13,20,32,39,58,64,54,40,18,4,1,0,389
1981,Male,Mortality,Brain cancer,17,10,6,4,6,10,17,13,24,25,31,60,44,52,55,19,7,2,0,402
1982,Male,Mortality,Brain cancer,7,8,10,3,4,5,11,12,18,39,36,49,55,45,44,24,2,4,0,376
1983,Male,Mortality,Brain cancer,9,4,4,3,6,5,11,22,16,22,47,66,55,65,56,32,10,4,0,437
1984,Male,Mortality,Brain cancer,4,9,8,6,6,5,14,21,29,30,34,63,56,57,64,20,15,2,0,443
1985,Male,Mortality,Brain cancer,5,8,4,6,9,6,6,8,22,25,49,52,72,55,63,38,7,4,0,439
1986,Male,Mortality,Brain cancer,8,7,7,4,6,10,10,21,21,24,33,57,64,53,61,27,12,4,0,429
1987,Male,Mortality,Brain cancer,5,5,8,2,5,7,12,14,23,27,39,40,62,84,51,36,15,3,0,438
1988,Male,Mortality,Brain cancer,3,15,9,8,4,10,12,17,29,25,35,52,62,81,48,46,20,8,0,484
1989,Male,Mortality,Brain cancer,10,7,7,9,4,8,14,18,16,35,39,44,66,73,49,40,14,2,0,455
1990,Male,Mortality,Brain cancer,8,6,6,6,6,13,16,19,32,36,44,64,69,59,55,42,26,10,0,517
1991,Male,Mortality,Brain cancer,6,6,4,6,4,11,14,13,34,20,52,54,66,67,57,57,18,13,0,502
1992,Male,Mortality,Brain cancer,8,2,5,8,3,6,15,20,27,36,58,48,85,72,68,48,24,9,0,542
1993,Male,Mortality,Brain cancer,5,9,7,4,0,12,19,20,33,40,57,43,69,85,69,34,18,10,0,534
1994,Male,Mortality,Brain cancer,6,9,8,2,5,11,13,28,21,29,52,52,71,76,85,45,30,13,0,556
1995,Male,Mortality,Brain cancer,5,9,6,3,9,5,17,17,31,38,46,59,68,75,66,59,31,13,0,557
1996,Male,Mortality,Brain cancer,8,3,4,6,4,15,20,22,37,40,51,50,72,71,84,51,39,17,0,594
1997,Male,Mortality,Brain cancer,10,4,5,6,5,13,11,11,29,37,49,62,60,85,83,61,35,15,0,581
1998,Male,Mortality,Brain cancer,14,5,1,5,2,9,14,16,22,41,68,53,63,76,73,63,27,17,0,569
1999,Male,Mortality,Brain cancer,8,9,6,6,2,12,12,18,34,47,62,75,66,67,66,59,19,19,0,587
2000,Male,Mortality,Brain cancer,7,10,4,8,2,5,16,17,40,49,75,62,61,76,89,63,38,12,0,634
2001,Male,Mortality,Brain cancer,9,8,8,7,4,7,15,21,34,37,68,77,67,81,68,69,34,16,1,631
2002,Male,Mortality,Brain cancer,4,8,5,8,2,10,14,16,26,40,67,84,85,82,68,62,49,22,0,652
2003,Male,Mortality,Brain cancer,6,6,3,6,7,5,18,20,38,47,62,83,65,65,73,65,44,25,0,638
2004,Male,Mortality,Brain cancer,7,5,4,2,9,10,17,15,35,44,55,80,80,81,74,74,29,18,0,639
2005,Male,Mortality,Brain cancer,5,9,5,1,2,5,13,22,24,34,63,76,65,89,66,68,50,17,0,614
2006,Male,Mortality,Brain cancer,7,3,1,4,6,7,13,15,27,37,55,82,79,77,78,78,40,13,0,622
2007,Male,Mortality,Brain cancer,11,11,1,4,2,9,14,28,20,56,49,81,84,89,78,68,51,30,0,686
2008,Male,Mortality,Brain cancer,1,4,7,0,5,9,8,23,30,46,47,77,91,97,98,81,49,28,0,701
2009,Male,Mortality,Brain cancer,6,9,7,10,2,5,14,26,27,47,44,65,90,91,90,75,60,23,0,691
2010,Male,Mortality,Brain cancer,3,8,6,4,3,7,11,20,28,41,56,77,116,109,89,68,59,32,0,737
2011,Male,Mortality,Brain cancer,7,6,2,4,4,5,14,18,33,43,63,70,111,111,90,86,49,43,0,759
1968,Female,Mortality,Brain cancer,12,3,1,6,1,3,2,4,9,16,14,21,25,12,7,6,2,1,0,145
1969,Female,Mortality,Brain cancer,8,5,1,5,3,5,3,3,12,15,15,21,29,7,8,3,0,0,0,143
1970,Female,Mortality,Brain cancer,11,6,5,5,5,5,3,9,7,14,19,26,21,11,18,5,0,1,0,171
1971,Female,Mortality,Brain cancer,4,8,3,2,0,4,4,10,15,17,18,19,25,14,10,1,2,0,0,156
1972,Female,Mortality,Brain cancer,4,11,2,2,3,0,5,7,14,20,14,20,27,16,12,7,1,0,0,165
1973,Female,Mortality,Brain cancer,9,3,3,4,2,6,4,4,12,15,19,22,35,28,18,9,3,0,0,196
1974,Female,Mortality,Brain cancer,7,8,3,3,6,0,7,12,8,14,23,19,30,21,12,6,2,1,0,182
1975,Female,Mortality,Brain cancer,5,7,2,6,4,6,4,6,6,18,18,20,15,28,18,4,3,3,0,173
1976,Female,Mortality,Brain cancer,6,8,4,2,4,5,3,10,10,22,22,30,32,30,17,7,3,2,0,217
1977,Female,Mortality,Brain cancer,5,3,3,6,3,6,9,6,4,16,22,35,30,29,19,14,4,0,0,214
1978,Female,Mortality,Brain cancer,1,7,0,3,1,3,7,6,8,12,18,24,40,24,17,13,4,4,0,192
1979,Female,Mortality,Brain cancer,5,6,6,6,3,12,9,8,13,21,16,31,33,37,17,14,4,2,0,243
1980,Female,Mortality,Brain cancer,3,13,5,10,6,4,5,7,13,17,25,32,36,40,34,14,7,3,0,274
1981,Female,Mortality,Brain cancer,7,6,5,5,7,8,6,18,6,12,15,21,41,39,31,23,11,2,0,263
1982,Female,Mortality,Brain cancer,1,7,4,4,1,3,6,6,17,20,26,28,38,58,31,29,5,3,0,287
1983,Female,Mortality,Brain cancer,6,3,6,3,7,5,15,13,25,17,28,28,51,36,39,22,10,3,0,317
1984,Female,Mortality,Brain cancer,6,12,4,4,1,5,10,14,11,11,31,35,53,35,46,35,22,6,0,341
1985,Female,Mortality,Brain cancer,5,12,3,5,10,9,11,14,15,17,24,25,47,43,40,31,19,8,0,338
1986,Female,Mortality,Brain cancer,5,8,3,1,8,7,7,13,15,12,23,24,51,40,44,20,13,4,0,298
1987,Female,Mortality,Brain cancer,9,9,4,2,3,1,13,16,12,18,19,29,51,49,42,32,19,6,0,334
1988,Female,Mortality,Brain cancer,2,6,4,5,4,6,3,17,16,18,23,31,54,60,42,43,23,6,0,363
1989,Female,Mortality,Brain cancer,5,5,4,4,3,5,12,11,17,18,18,29,48,46,54,48,23,9,0,359
1990,Female,Mortality,Brain cancer,5,8,7,4,4,7,8,10,22,29,34,41,52,54,43,53,22,13,0,416
1991,Female,Mortality,Brain cancer,3,7,5,7,4,7,4,19,25,20,23,31,52,51,50,45,26,3,0,382
1992,Female,Mortality,Brain cancer,4,9,5,7,5,6,16,20,24,22,32,34,49,48,55,35,35,10,0,416
1993,Female,Mortality,Brain cancer,7,6,3,1,3,9,8,14,22,13,20,26,48,45,54,48,43,11,0,381
1994,Female,Mortality,Brain cancer,6,5,7,4,4,5,10,17,21,31,25,30,40,64,67,49,31,16,0,432
1995,Female,Mortality,Brain cancer,5,5,5,4,5,7,7,7,14,26,29,38,49,61,47,43,22,26,0,400
1996,Female,Mortality,Brain cancer,9,5,5,7,3,10,8,7,20,26,34,44,39,53,46,44,25,22,0,407
1997,Female,Mortality,Brain cancer,6,16,3,5,2,11,11,15,19,27,25,42,35,52,70,41,38,18,0,436
1998,Female,Mortality,Brain cancer,10,7,2,3,7,3,12,8,29,29,35,36,49,37,64,42,38,30,0,441
1999,Female,Mortality,Brain cancer,2,3,5,5,1,5,8,12,16,25,28,36,38,52,73,53,29,29,0,420
2000,Female,Mortality,Brain cancer,2,9,7,3,5,3,7,14,13,22,38,48,42,55,56,55,45,31,0,455
2001,Female,Mortality,Brain cancer,6,6,3,2,4,4,5,17,15,17,39,44,38,44,71,67,28,23,0,433
2002,Female,Mortality,Brain cancer,9,11,5,1,0,4,7,9,16,25,39,48,42,59,66,73,46,32,0,492
2003,Female,Mortality,Brain cancer,5,8,2,4,1,7,11,12,19,32,50,49,35,46,65,60,34,33,0,473
2004,Female,Mortality,Brain cancer,6,6,6,7,1,9,17,14,18,29,35,42,54,52,41,54,31,22,0,444
2005,Female,Mortality,Brain cancer,7,5,5,4,6,4,9,14,21,18,32,39,36,51,61,52,46,26,0,436
2006,Female,Mortality,Brain cancer,6,7,8,2,1,6,13,8,12,24,29,48,41,55,48,48,49,31,0,436
2007,Female,Mortality,Brain cancer,3,10,2,4,4,3,5,10,14,24,31,51,56,53,63,50,44,41,0,468
2008,Female,Mortality,Brain cancer,5,7,2,3,3,7,7,17,14,24,28,38,51,58,52,66,51,39,0,472
2009,Female,Mortality,Brain cancer,1,2,3,3,1,3,7,12,18,40,24,52,66,58,60,51,49,27,0,477
2010,Female,Mortality,Brain cancer,6,7,3,5,3,5,6,16,20,28,28,46,69,65,63,66,40,37,0,513
2011,Female,Mortality,Brain cancer,6,9,3,4,3,3,3,12,21,28,29,56,66,71,62,57,47,33,0,513
1968,Persons,Mortality,Brain cancer,24,12,8,12,2,13,6,20,23,38,45,59,65,33,19,9,2,1,0,391
1969,Persons,Mortality,Brain cancer,13,11,4,7,4,11,10,13,29,36,36,44,62,25,18,7,1,0,0,331
1970,Persons,Mortality,Brain cancer,15,19,10,7,8,12,10,17,27,37,50,70,51,42,29,10,0,1,0,415
1971,Persons,Mortality,Brain cancer,12,15,7,12,2,7,11,18,27,36,48,58,68,32,23,5,3,1,0,385
1972,Persons,Mortality,Brain cancer,10,18,9,6,10,11,11,14,26,45,43,58,67,44,29,13,2,0,0,416
1973,Persons,Mortality,Brain cancer,18,9,10,7,8,10,17,15,32,41,49,56,64,53,27,13,4,1,0,434
1974,Persons,Mortality,Brain cancer,16,13,12,10,11,8,17,24,25,40,53,50,78,47,31,13,4,1,0,453
1975,Persons,Mortality,Brain cancer,11,12,8,12,13,12,16,15,24,42,50,52,55,57,33,12,5,5,0,434
1976,Persons,Mortality,Brain cancer,16,9,9,3,9,12,14,22,18,45,53,58,83,68,41,16,6,2,0,484
1977,Persons,Mortality,Brain cancer,12,6,11,8,8,11,20,11,20,37,38,70,78,66,35,25,4,3,0,463
1978,Persons,Mortality,Brain cancer,6,11,3,8,12,9,18,22,28,48,37,58,83,44,43,38,7,4,0,479
1979,Persons,Mortality,Brain cancer,14,10,13,14,8,20,27,19,36,45,57,79,85,99,54,27,5,3,0,615
1980,Persons,Mortality,Brain cancer,10,17,12,16,10,10,17,20,33,49,64,90,100,94,74,32,11,4,0,663
1981,Persons,Mortality,Brain cancer,24,16,11,9,13,18,23,31,30,37,46,81,85,91,86,42,18,4,0,665
1982,Persons,Mortality,Brain cancer,8,15,14,7,5,8,17,18,35,59,62,77,93,103,75,53,7,7,0,663
1983,Persons,Mortality,Brain cancer,15,7,10,6,13,10,26,35,41,39,75,94,106,101,95,54,20,7,0,754
1984,Persons,Mortality,Brain cancer,10,21,12,10,7,10,24,35,40,41,65,98,109,92,110,55,37,8,0,784
1985,Persons,Mortality,Brain cancer,10,20,7,11,19,15,17,22,37,42,73,77,119,98,103,69,26,12,0,777
1986,Persons,Mortality,Brain cancer,13,15,10,5,14,17,17,34,36,36,56,81,115,93,105,47,25,8,0,727
1987,Persons,Mortality,Brain cancer,14,14,12,4,8,8,25,30,35,45,58,69,113,133,93,68,34,9,0,772
1988,Persons,Mortality,Brain cancer,5,21,13,13,8,16,15,34,45,43,58,83,116,141,90,89,43,14,0,847
1989,Persons,Mortality,Brain cancer,15,12,11,13,7,13,26,29,33,53,57,73,114,119,103,88,37,11,0,814
1990,Persons,Mortality,Brain cancer,13,14,13,10,10,20,24,29,54,65,78,105,121,113,98,95,48,23,0,933
1991,Persons,Mortality,Brain cancer,9,13,9,13,8,18,18,32,59,40,75,85,118,118,107,102,44,16,0,884
1992,Persons,Mortality,Brain cancer,12,11,10,15,8,12,31,40,51,58,90,82,134,120,123,83,59,19,0,958
1993,Persons,Mortality,Brain cancer,12,15,10,5,3,21,27,34,55,53,77,69,117,130,123,82,61,21,0,915
1994,Persons,Mortality,Brain cancer,12,14,15,6,9,16,23,45,42,60,77,82,111,140,152,94,61,29,0,988
1995,Persons,Mortality,Brain cancer,10,14,11,7,14,12,24,24,45,64,75,97,117,136,113,102,53,39,0,957
1996,Persons,Mortality,Brain cancer,17,8,9,13,7,25,28,29,57,66,85,94,111,124,130,95,64,39,0,1001
1997,Persons,Mortality,Brain cancer,16,20,8,11,7,24,22,26,48,64,74,104,95,137,153,102,73,33,0,1017
1998,Persons,Mortality,Brain cancer,24,12,3,8,9,12,26,24,51,70,103,89,112,113,137,105,65,47,0,1010
1999,Persons,Mortality,Brain cancer,10,12,11,11,3,17,20,30,50,72,90,111,104,119,139,112,48,48,0,1007
2000,Persons,Mortality,Brain cancer,9,19,11,11,7,8,23,31,53,71,113,110,103,131,145,118,83,43,0,1089
2001,Persons,Mortality,Brain cancer,15,14,11,9,8,11,20,38,49,54,107,121,105,125,139,136,62,39,1,1064
2002,Persons,Mortality,Brain cancer,13,19,10,9,2,14,21,25,42,65,106,132,127,141,134,135,95,54,0,1144
2003,Persons,Mortality,Brain cancer,11,14,5,10,8,12,29,32,57,79,112,132,100,111,138,125,78,58,0,1111
2004,Persons,Mortality,Brain cancer,13,11,10,9,10,19,34,29,53,73,90,122,134,133,115,128,60,40,0,1083
2005,Persons,Mortality,Brain cancer,12,14,10,5,8,9,22,36,45,52,95,115,101,140,127,120,96,43,0,1050
2006,Persons,Mortality,Brain cancer,13,10,9,6,7,13,26,23,39,61,84,130,120,132,126,126,89,44,0,1058
2007,Persons,Mortality,Brain cancer,14,21,3,8,6,12,19,38,34,80,80,132,140,142,141,118,95,71,0,1154
2008,Persons,Mortality,Brain cancer,6,11,9,3,8,16,15,40,44,70,75,115,142,155,150,147,100,67,0,1173
2009,Persons,Mortality,Brain cancer,7,11,10,13,3,8,21,38,45,87,68,117,156,149,150,126,109,50,0,1168
2010,Persons,Mortality,Brain cancer,9,15,9,9,6,12,17,36,48,69,84,123,185,174,152,134,99,69,0,1250
2011,Persons,Mortality,Brain cancer,13,15,5,8,7,8,17,30,54,71,92,126,177,182,152,143,96,76,0,1272
1968,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1969,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1970,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1971,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1972,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1973,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1974,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1975,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1976,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1977,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1978,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1979,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1980,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1981,Male,Incidence,Breast cancer,,,,,,,,,,,,,,,,,,,,0
1982,Male,Incidence,Breast cancer,0,0,0,0,0,0,1,1,2,3,3,10,6,7,11,8,5,4,0,61
1983,Male,Incidence,Breast cancer,0,0,0,0,0,1,0,1,2,2,1,4,6,8,3,9,7,1,0,45
1984,Male,Incidence,Breast cancer,0,0,0,0,0,0,3,0,1,3,3,4,9,14,4,1,6,1,0,49
1985,Male,Incidence,Breast cancer,0,0,0,0,0,0,0,3,2,3,6,13,11,4,6,6,2,3,0,59
1986,Male,Incidence,Breast cancer,1,0,0,0,0,1,0,0,0,4,6,4,5,7,10,7,7,1,0,53
1987,Male,Incidence,Breast cancer,0,0,0,0,0,0,1,3,0,4,2,10,7,11,5,7,4,1,0,55
1988,Male,Incidence,Breast cancer,0,0,1,0,0,0,0,1,2,2,2,5,7,12,12,9,4,3,0,60
1989,Male,Incidence,Breast cancer,0,0,0,0,0,0,0,3,2,3,5,6,11,14,9,9,5,1,0,68
1990,Male,Incidence,Breast cancer,0,0,0,0,0,0,2,2,2,4,2,5,17,11,9,16,6,3,0,79
1991,Male,Incidence,Breast cancer,0,0,0,0,0,0,1,1,2,2,1,3,10,9,14,7,10,3,0,63
